run,arrivalDelayMs
1,40
1,54
1,57
1,72
1,78
1,81
1,83
1,84
1,88
1,88
1,97
1,99
1,100
1,102
1,103
1,103
1,104
1,108
1,108
1,109
1,117
1,118
1,120
1,128
1,128
1,132
1,133
1,134
1,137
1,139
1,140
1,141
1,141
1,143
1,144
1,146
1,147
1,149
1,153
1,153
1,154
1,154
1,158
1,160
1,161
1,162
1,163
1,169
1,169
1,169
1,174
1,174
1,175
1,176
1,178
1,178
1,178
1,179
1,180
1,182
1,185
1,185
1,186
1,186
1,188
1,189
1,190
1,192
1,193
1,203
1,203
1,203
1,204
1,207
1,207
1,209
1,209
1,213
1,214
1,214
1,214
1,214
1,215
1,218
1,218
1,218
1,219
1,220
1,221
1,221
1,221
1,221
1,221
1,225
1,229
1,229
1,229
1,233
1,234
1,234
1,234
1,234
1,237
1,238
1,238
1,239
1,240
1,243
1,243
1,243
1,244
1,244
1,245
1,245
1,248
1,250
1,252
1,252
1,253
1,254
1,254
1,255
1,256
1,256
1,256
1,257
1,258
1,258
1,264
1,274
1,275
1,278
1,278
1,279
1,280
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,283
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,285
1,290
1,292
1,300
1,309
1,315
1,318
1,319
1,322
1,328
1,334
1,335
1,336
1,338
1,339
1,342
1,344
1,347
1,347
1,348
1,348
1,350
1,354
1,357
1,362
1,363
1,363
1,364
1,365
1,368
1,369
1,372
1,375
1,375
1,375
1,377
1,377
1,378
1,378
1,378
1,378
1,382
1,383
1,388
1,389
1,391
1,395
1,397
1,397
1,399
1,400
1,409
1,409
1,409
1,409
1,413
1,414
1,414
1,414
1,414
1,420
1,420
1,423
1,425
1,426
1,428
1,428
1,428
1,432
1,433
1,438
1,438
1,439
1,442
1,442
1,443
1,452
1,452
1,452
1,453
1,454
1,463
1,463
1,472
1,473
1,473
1,478
1,479
1,483
1,483
1,483
1,487
1,487
1,487
1,489
1,492
1,494
1,498
1,499
1,502
1,502
1,502
1,503
1,504
1,507
1,508
1,508
1,508
1,508
1,509
1,512
1,512
1,512
1,512
1,517
1,522
1,522
1,523
1,524
1,528
1,529
1,532
1,533
1,535
1,537
1,542
1,544
1,547
1,548
1,548
1,549
1,549
1,550
1,552
1,557
1,558
1,567
1,580
1,583
1,583
1,589
1,592
1,592
1,598
1,617
1,618
1,618
1,619
1,626
1,628
1,633
1,653
1,657
1,661
1,666
1,672
1,672
1,673
1,673
1,673
1,673
1,683
1,683
1,683
1,683
1,708
1,717
1,717
1,717
1,727
1,727
1,727
1,736
1,742
1,757
1,761
1,773
1,773
1,776
1,782
1,782
1,782
1,796
1,797
1,802
1,811
1,811
1,817
1,822
1,823
1,823
1,827
1,827
1,827
1,827
1,831
1,831
1,832
1,832
1,871
1,871
1,871
1,896
1,922
1,922
1,922
1,922
1,926
1,941
1,982
1,982
1,986
1,986
1,991
1,991
1,1007
1,1012
1,1036
1,1056
1,1081
1,1096
1,1096
1,1101
1,1126
1,1167
1,1168
1,1176
1,1176
1,1187
1,1207
1,1217
1,1222
1,1222
1,1237
1,1237
1,1260
1,1261
1,1261
1,1296
1,1301
1,1311
1,1326
1,1326
1,1361
1,1384
1,1391
1,1401
1,1426
1,1451
1,1506
1,1511
1,1606
1,1678
1,1891
1,1976
1,2001
1,2066
1,2082
1,2096
1,2161
1,2171
1,2216
1,2246
1,2256
1,2271
1,2308
1,2357
1,2386
1,2441
1,2456
1,2476
1,2481
1,2506
1,2516
1,2566
1,2586
1,2586
1,3603
2,82
2,117
2,120
2,158
2,162
2,165
2,167
2,167
2,168
2,169
2,175
2,175
2,175
2,175
2,175
2,176
2,178
2,184
2,192
2,192
2,192
2,192
2,195
2,208
2,209
2,213
2,216
2,222
2,222
2,223
2,226
2,227
2,230
2,231
2,232
2,233
2,235
2,235
2,235
2,235
2,235
2,235
2,235
2,235
2,241
2,242
2,244
2,246
2,246
2,248
2,249
2,250
2,250
2,253
2,254
2,255
2,256
2,256
2,256
2,256
2,257
2,260
2,261
2,262
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,263
2,279
2,284
2,285
2,285
2,285
2,285
2,285
2,286
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,290
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,291
2,296
2,300
2,322
2,355
2,355
2,359
2,360
2,386
2,386
2,412
2,421
2,421
2,421
2,421
2,422
2,422
2,422
2,423
2,423
2,466
2,467
2,467
2,467
2,467
2,468
2,468
2,468
2,468
2,468
2,468
2,469
2,469
2,469
2,469
2,476
2,476
2,476
2,476
2,477
2,477
2,477
2,477
2,477
2,478
2,478
2,478
2,478
2,478
2,478
2,479
2,479
2,479
2,480
2,480
2,480
2,480
2,480
2,481
2,481
2,482
2,482
2,482
2,483
2,483
2,483
2,483
2,483
2,483
2,484
2,484
2,484
2,484
2,484
2,485
2,485
2,485
2,502
2,502
2,502
2,503
2,503
2,503
2,503
2,509
2,510
2,510
2,510
2,520
2,520
2,521
2,522
2,533
2,534
2,541
2,542
2,542
2,542
2,542
2,542
2,571
2,571
2,571
2,572
2,572
2,572
2,572
2,590
2,591
2,628
2,628
2,629
2,629
2,640
2,640
2,641
2,666
2,666
2,666
2,667
2,667
2,667
2,683
2,698
2,711
2,730
2,730
2,730
2,730
2,730
2,730
2,738
2,739
2,739
2,740
2,754
2,769
2,769
2,770
2,770
2,770
2,770
2,771
2,771
2,780
2,780
2,781
2,812
2,831
2,831
2,841
2,852
2,852
2,852
2,852
2,853
2,858
2,858
2,858
2,860
2,860
2,860
2,860
2,866
2,873
2,885
2,900
2,907
2,908
2,909
2,909
2,926
2,978
2,987
2,987
2,1003
2,1003
2,1022
2,1022
2,1036
2,1036
2,1036
2,1062
2,1076
2,1076
2,1085
2,1085
2,1092
2,1134
2,1155
2,1155
2,1188
2,1196
2,1223
2,1231
2,1231
2,1232
2,1239
2,1246
2,1246
2,1286
2,1286
2,1286
2,1305
2,1318
2,1318
2,1325
2,1332
2,1347
2,1361
2,1361
2,1367
2,1388
2,1394
2,1455
2,1469
2,1476
2,1507
2,1530
2,1531
2,1673
2,1690
2,1951
2,2023
2,2061
2,2157
2,2157
2,2199
2,2207
2,2286
2,2286
2,2293
2,2293
2,2314
2,2368
2,2372
2,2387
2,2454
2,2484
2,2484
2,2521
2,2581
2,2581
2,2633
2,2633
2,2664
2,3675
3,69
3,74
3,81
3,90
3,91
3,96
3,102
3,102
3,105
3,107
3,107
3,107
3,107
3,114
3,117
3,117
3,120
3,121
3,121
3,122
3,131
3,131
3,131
3,137
3,139
3,139
3,139
3,139
3,147
3,147
3,148
3,148
3,152
3,154
3,157
3,157
3,157
3,157
3,157
3,157
3,157
3,157
3,158
3,158
3,158
3,163
3,163
3,163
3,166
3,167
3,167
3,171
3,172
3,172
3,172
3,172
3,172
3,173
3,173
3,173
3,173
3,176
3,176
3,177
3,177
3,177
3,177
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,181
3,182
3,189
3,189
3,196
3,196
3,197
3,197
3,202
3,208
3,208
3,208
3,211
3,212
3,212
3,212
3,213
3,214
3,218
3,218
3,221
3,221
3,222
3,222
3,222
3,223
3,223
3,233
3,233
3,233
3,233
3,234
3,234
3,236
3,237
3,237
3,237
3,237
3,238
3,241
3,242
3,242
3,243
3,246
3,246
3,246
3,247
3,248
3,248
3,251
3,251
3,252
3,253
3,253
3,253
3,253
3,253
3,257
3,257
3,257
3,257
3,257
3,258
3,258
3,259
3,259
3,259
3,259
3,259
3,261
3,263
3,263
3,267
3,268
3,270
3,270
3,270
3,270
3,270
3,270
3,270
3,272
3,272
3,277
3,277
3,277
3,277
3,278
3,278
3,281
3,282
3,283
3,283
3,284
3,284
3,284
3,285
3,285
3,285
3,285
3,286
3,286
3,287
3,287
3,287
3,289
3,291
3,291
3,292
3,292
3,293
3,293
3,296
3,296
3,297
3,302
3,303
3,304
3,304
3,305
3,305
3,305
3,305
3,305
3,307
3,307
3,312
3,312
3,312
3,312
3,313
3,314
3,318
3,321
3,327
3,328
3,328
3,328
3,329
3,329
3,329
3,332
3,332
3,332
3,332
3,337
3,337
3,337
3,343
3,344
3,344
3,345
3,345
3,345
3,346
3,347
3,347
3,352
3,352
3,352
3,352
3,352
3,352
3,352
3,356
3,361
3,366
3,367
3,367
3,368
3,382
3,386
3,391
3,391
3,392
3,396
3,396
3,402
3,409
3,411
3,412
3,416
3,417
3,417
3,417
3,418
3,418
3,418
3,418
3,427
3,427
3,435
3,436
3,437
3,437
3,437
3,441
3,442
3,454
3,454
3,458
3,458
3,468
3,472
3,476
3,482
3,489
3,489
3,489
3,497
3,511
3,511
3,511
3,515
3,527
3,530
3,530
3,530
3,530
3,530
3,530
3,530
3,530
3,557
3,572
3,577
3,577
3,577
3,587
3,592
3,592
3,602
3,607
3,607
3,607
3,612
3,625
3,625
3,638
3,638
3,638
3,647
3,662
3,662
3,689
3,692
3,692
3,692
3,696
3,699
3,701
3,712
3,716
3,723
3,723
3,723
3,727
3,738
3,742
3,747
3,752
3,752
3,757
3,757
3,771
3,782
3,783
3,783
3,783
3,787
3,787
3,799
3,799
3,799
3,802
3,802
3,817
3,822
3,841
3,861
3,861
3,882
3,882
3,882
3,882
3,882
3,947
3,997
3,997
3,997
3,997
3,998
3,998
3,1019
3,1019
3,1027
3,1036
3,1042
3,1042
3,1047
3,1067
3,1097
3,1117
3,1117
3,1117
3,1144
3,1147
3,1172
3,1192
3,1192
3,1202
3,1212
3,1227
3,1242
3,1242
3,1242
3,1246
3,1261
3,1261
3,1279
3,1284
3,1286
3,1293
3,1317
3,1348
3,1353
3,1383
3,1408
3,1416
3,1422
3,1448
3,1448
3,1452
3,1568
3,1649
3,1893
3,1973
3,2028
3,2088
3,2098
3,2098
3,2143
3,2173
3,2214
3,2223
3,2228
3,2228
3,2309
3,2373
3,2378
3,2443
3,2453
3,2453
3,2463
3,2513
3,2523
3,2563
3,2583
3,2593
3,3614
4,66
4,86
4,86
4,86
4,86
4,86
4,88
4,96
4,99
4,99
4,99
4,100
4,102
4,102
4,108
4,117
4,117
4,123
4,125
4,125
4,125
4,125
4,126
4,126
4,126
4,127
4,127
4,128
4,128
4,128
4,131
4,131
4,131
4,132
4,132
4,139
4,147
4,148
4,153
4,153
4,153
4,153
4,153
4,153
4,153
4,154
4,156
4,161
4,161
4,163
4,165
4,165
4,165
4,165
4,165
4,167
4,168
4,170
4,172
4,173
4,176
4,176
4,181
4,182
4,182
4,186
4,187
4,189
4,191
4,191
4,191
4,191
4,192
4,192
4,192
4,193
4,193
4,193
4,193
4,193
4,195
4,197
4,199
4,199
4,201
4,204
4,212
4,212
4,212
4,212
4,214
4,214
4,214
4,214
4,214
4,214
4,214
4,214
4,215
4,215
4,215
4,216
4,222
4,223
4,223
4,223
4,223
4,223
4,224
4,224
4,224
4,224
4,226
4,226
4,226
4,227
4,229
4,229
4,233
4,233
4,245
4,245
4,245
4,245
4,245
4,246
4,246
4,249
4,250
4,250
4,250
4,250
4,251
4,251
4,251
4,251
4,251
4,251
4,251
4,251
4,252
4,252
4,252
4,252
4,262
4,262
4,263
4,264
4,264
4,264
4,264
4,265
4,266
4,266
4,269
4,270
4,272
4,272
4,298
4,298
4,299
4,299
4,299
4,299
4,299
4,300
4,302
4,302
4,302
4,302
4,302
4,302
4,302
4,302
4,302
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,303
4,305
4,305
4,306
4,307
4,308
4,312
4,312
4,313
4,313
4,313
4,314
4,315
4,316
4,316
4,316
4,316
4,316
4,316
4,317
4,329
4,329
4,330
4,330
4,330
4,331
4,331
4,331
4,331
4,331
4,331
4,331
4,332
4,336
4,336
4,336
4,336
4,336
4,338
4,338
4,343
4,343
4,343
4,362
4,362
4,362
4,362
4,362
4,362
4,363
4,363
4,363
4,363
4,363
4,368
4,368
4,369
4,369
4,369
4,369
4,370
4,380
4,381
4,383
4,395
4,395
4,395
4,395
4,397
4,397
4,397
4,404
4,404
4,404
4,405
4,405
4,405
4,405
4,416
4,422
4,422
4,427
4,436
4,436
4,436
4,436
4,436
4,436
4,436
4,436
4,437
4,444
4,463
4,467
4,467
4,479
4,479
4,479
4,479
4,480
4,480
4,480
4,480
4,480
4,495
4,498
4,498
4,507
4,507
4,519
4,520
4,521
4,521
4,521
4,521
4,540
4,549
4,562
4,572
4,573
4,573
4,574
4,574
4,592
4,601
4,601
4,601
4,601
4,610
4,610
4,616
4,616
4,616
4,626
4,626
4,626
4,655
4,655
4,655
4,662
4,667
4,675
4,675
4,695
4,695
4,699
4,699
4,699
4,712
4,712
4,712
4,717
4,721
4,727
4,727
4,727
4,727
4,740
4,740
4,746
4,746
4,763
4,770
4,770
4,790
4,791
4,791
4,791
4,791
4,791
4,799
4,807
4,807
4,818
4,845
4,845
4,845
4,852
4,860
4,898
4,912
4,939
4,941
4,941
4,941
4,974
4,974
4,980
4,985
4,997
4,997
4,997
4,1003
4,1032
4,1064
4,1064
4,1070
4,1070
4,1094
4,1104
4,1144
4,1154
4,1158
4,1158
4,1159
4,1187
4,1191
4,1191
4,1198
4,1209
4,1223
4,1239
4,1243
4,1250
4,1290
4,1290
4,1290
4,1290
4,1306
4,1349
4,1366
4,1378
4,1378
4,1387
4,1437
4,1481
4,1481
4,1594
4,1662
4,1894
4,1961
4,1969
4,2076
4,2076
4,2125
4,2149
4,2187
4,2201
4,2237
4,2251
4,2272
4,2296
4,2350
4,2377
4,2425
4,2446
4,2460
4,2463
4,2498
4,2504
4,2574
4,2585
4,2591
4,3606
5,75
5,83
5,89
5,95
5,95
5,95
5,98
5,99
5,99
5,99
5,99
5,101
5,102
5,107
5,107
5,107
5,111
5,117
5,122
5,122
5,122
5,127
5,127
5,127
5,127
5,131
5,136
5,136
5,141
5,141
5,146
5,147
5,147
5,147
5,147
5,152
5,152
5,153
5,156
5,157
5,157
5,157
5,161
5,166
5,167
5,167
5,167
5,167
5,172
5,172
5,176
5,176
5,176
5,181
5,181
5,181
5,182
5,182
5,182
5,183
5,183
5,183
5,188
5,188
5,189
5,189
5,190
5,190
5,190
5,192
5,192
5,192
5,192
5,192
5,193
5,197
5,197
5,197
5,201
5,201
5,202
5,202
5,203
5,203
5,204
5,207
5,207
5,207
5,207
5,208
5,208
5,212
5,212
5,212
5,212
5,213
5,213
5,213
5,217
5,217
5,217
5,218
5,218
5,218
5,221
5,222
5,222
5,223
5,228
5,229
5,232
5,232
5,232
5,232
5,232
5,232
5,232
5,233
5,233
5,233
5,234
5,237
5,238
5,239
5,239
5,239
5,239
5,239
5,239
5,240
5,240
5,241
5,242
5,243
5,243
5,243
5,247
5,247
5,248
5,248
5,248
5,248
5,253
5,254
5,254
5,254
5,256
5,256
5,256
5,256
5,257
5,257
5,258
5,258
5,258
5,258
5,258
5,262
5,262
5,263
5,267
5,267
5,267
5,267
5,267
5,269
5,271
5,272
5,272
5,276
5,277
5,278
5,278
5,278
5,278
5,282
5,283
5,283
5,283
5,283
5,283
5,283
5,284
5,284
5,284
5,284
5,284
5,284
5,285
5,285
5,285
5,286
5,286
5,287
5,287
5,287
5,287
5,288
5,288
5,288
5,288
5,288
5,288
5,288
5,288
5,289
5,289
5,289
5,289
5,291
5,291
5,292
5,292
5,292
5,292
5,297
5,298
5,298
5,299
5,299
5,299
5,303
5,304
5,304
5,305
5,305
5,305
5,305
5,306
5,306
5,307
5,307
5,307
5,313
5,313
5,313
5,313
5,313
5,317
5,318
5,318
5,318
5,318
5,322
5,322
5,339
5,345
5,346
5,349
5,360
5,360
5,360
5,368
5,369
5,370
5,370
5,377
5,377
5,378
5,378
5,386
5,386
5,386
5,386
5,386
5,391
5,396
5,401
5,401
5,406
5,406
5,411
5,417
5,417
5,417
5,417
5,417
5,418
5,418
5,426
5,427
5,431
5,436
5,442
5,442
5,442
5,458
5,468
5,468
5,468
5,472
5,481
5,481
5,482
5,500
5,501
5,502
5,509
5,511
5,511
5,513
5,513
5,519
5,519
5,523
5,523
5,534
5,534
5,534
5,534
5,539
5,539
5,544
5,558
5,559
5,559
5,564
5,572
5,574
5,574
5,574
5,589
5,594
5,599
5,600
5,600
5,600
5,600
5,604
5,613
5,624
5,629
5,629
5,643
5,643
5,656
5,658
5,662
5,662
5,664
5,668
5,668
5,703
5,708
5,709
5,712
5,713
5,713
5,713
5,718
5,718
5,719
5,724
5,729
5,733
5,733
5,734
5,738
5,742
5,749
5,759
5,759
5,759
5,763
5,763
5,774
5,778
5,778
5,783
5,783
5,792
5,792
5,825
5,828
5,841
5,863
5,864
5,864
5,870
5,893
5,933
5,933
5,933
5,933
5,979
5,982
5,988
5,993
5,1008
5,1012
5,1012
5,1019
5,1023
5,1078
5,1082
5,1082
5,1083
5,1110
5,1113
5,1159
