arrivalDelayMs
-15
50
60
61
70
80
82
87
93
98
102
113
115
115
116
119
125
130
130
130
131
132
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
135
136
151
151
154
154
154
154
154
156
166
170
174
178
178
179
181
181
183
184
185
185
187
189
191
193
193
196
196
197
198
198
200
200
200
200
202
202
202
202
204
204
204
204
205
205
209
209
210
210
210
210
210
210
210
210
213
213
213
213
213
217
217
217
217
217
219
221
221
221
224
225
225
225
225
230
231
231
231
232
232
233
233
234
234
235
236
236
236
236
236
240
241
242
242
242
242
244
247
247
247
247
253
253
253
255
255
255
255
256
256
256
257
257
259
261
261
261
264
264
268
268
268
268
268
268
268
268
268
268
270
272
272
272
272
272
272
272
274
274
274
274
280
280
280
282
282
286
286
287
287
287
287
295
297
297
297
297
298
298
299
302
307
307
308
308
312
312
312
312
314
315
315
317
318
318
318
322
322
325
329
330
330
330
330
330
330
330
330
330
330
330
341
357
370
370
375
375
375
380
385
385
391
395
395
397
405
415
427
428
429
435
444
450
450
451
455
455
458
465
465
465
465
465
474
474
474
480
480
482
484
493
493
493
495
500
500
506
506
506
507
510
510
514
525
531
531
544
544
551
551
553
553
556
556
557
559
559
584
589
601
601
606
619
621
624
636
671
671
674
686
690
691
691
694
699
702
702
712
712
712
712
731
736
736
736
740
740
749
776
780
786
786
786
791
808
816
830
834
834
880
880
894
894
900
909
954
955
969
970
976
980
982
982
986
986
990
1006
1010
1014
1018
1026
1030
1030
1030
1030
1030
1030
1063
1114
1114
1116
1126
1128
1141
1154
1161
1163
1165
1166
1171
1177
1178
1194
1199
1229
1233
1241
1252
1256
1256
1260
1260
1270
1296
1296
1296
1308
1316
1322
1330
1332
1335
1345
1349
1354
1354
1364
1386
1389
1401
1449
1532
1534
1534
1730
1806
2131
2187
2261
2266
2283
2338
2348
2411
2416
2429
2429
2429
2484
2542
2582
2784
